name,brand,rating,average_rating
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
Thief - Xbox One,Square Enix,1,3.52
Thief - Xbox One,Square Enix,4,3.52
Thief - Xbox One,Square Enix,1,3.52
Thief - Xbox One,Square Enix,2,3.52
Thief - Xbox One,Square Enix,3,3.52
Thief - Xbox One,Square Enix,1,3.52
Thief - Xbox One,Square Enix,5,3.52
Thief - Xbox One,Square Enix,3,3.52
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,3,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,4,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,4,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,2,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,4,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,4,3.9133
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,1,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,3,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,4,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,4,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,3,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,4,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,3,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,3,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,2,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
